category,description,item_type,uom,unit_cost,sample_count,source
"Air Conditioning, Mechanical Services",Daikin Inverter 3 phase Reverse Cycle Ducted Air Conditioner supplied and installed as per Cruice Bros quote 1869,Mat,Allowance,11468.1,1,Hilda 2021-22 x1.29
"Air Conditioning, Mechanical Services",Removal of outdoor split system,Mat,Allowance,232.2,1,Hilda 2021-22 x1.29
Air-conditioning,Allowance,Lab,PS,20800.0,1,Carberry 2025 x1.04
"Alfresco Tiling, Stone wall feature","Floor tiling, change from French Lay to Brick bond pattern for all areas except the front porch and front path",Lab,m2,23.4,1,Benecia 2022-23 x1.17
"Alfresco Tiling, Stone wall feature","Labour to lay tiles, French Pattern 12mm Travertine",Sub,m2,9754.29,1,Benecia 2022-23 x1.17
"Alfresco Tiling, Stone wall feature",Pool stone feature  wall allowance originally included,Mat,Allowance,4478.76,1,Benecia 2022-23 x1.17
"Alfresco Tiling, Stone wall feature",Supply and install natural stone wall cladding to pool wall,Sub,ea,4478.76,1,Benecia 2022-23 x1.17
Aluminium Shutters,Cost to remake guardian shutters due to design change.,Sub,Allowance,1697.5,1,Constitution 2024-25 x1.10
Aluminium Shutters,Ensuite W01. Guardian Aluminium Plantation Shutters Standard colour,Sub,each,4591.4,1,Constitution 2024-25 x1.10
Aluminium Shutters,Sunroom W12. Guardian Aluminium Plantation Shutters Standard colour,Sub,each,4139.3,1,Constitution 2024-25 x1.10
Aluminium Shutters,Sunroom W13. Guardian Aluminium Plantation Shutters Standard colour,Sub,each,5747.5,1,Constitution 2024-25 x1.10
Aluminium Shutters,Sunroom W14. Guardian Aluminium Plantation Shutters Standard colour,Sub,each,7869.99,1,Constitution 2024-25 x1.10
Aluminium Shutters,Veranda door at the top of the back stair on to the deck. Guardian Aluminium Plantation Shutters Standard colour,Sub,each,3261.5,1,Constitution 2024-25 x1.10
Aluminium Shutters,Veranda fixed louvre panels on the back deck. Guardian Aluminium Plantation Shutters Standard colour,Sub,each,5214.0,1,Constitution 2024-25 x1.10
Appliances,Appliance allowance (see spreadsheet),Mat,PC,14560.0,1,Carberry 2025 x1.04
Asbestos removal,Asbestos removal in the upstairs main bathroom ceiling,Mat,Allowance,900.9,1,Benecia 2022-23 x1.17
Asbestos removal,Clearance Certificate by an independent company for a competent Asbestos Assessor for the appropriate class of asbestos removal work in accordance with WHS regulations S.473.,Sub,Allowance,341.0,1,Constitution 2024-25 x1.10
Asbestos removal,"Mobilisation Fee. Includes travel to site & site set up, Preparation of SWMS, ARCP, WHS Form 65, neighbours notification, PPE, consumables, Waste transport, disposal fees & Environmental Levy.",Sub,Allowance,825.0,1,Constitution 2024-25 x1.10
Asbestos removal,"Remove Asbestos internal ceiling linings with batt insulation, and gyprock sheeting to the upstairs dining/kitchen area, including all cornice, trims etc. attached to the sheeting material.",Sub,Allowance,2365.0,1,Constitution 2024-25 x1.10
Asbestos removal,"Remove Asbestos internal wall linings and ceilings to the downstairs old toilet area next to the bar area, external sheeting to the same area and along the right hand side rumpus room, infill panels to the rumpus room ceiling (laundry side) and soffit she",Sub,each,2187.9,1,Benecia 2022-23 x1.17
Asbestos removal,"Remove Asbestos internal wall linings to the upstairs hallway leading into the main bathroom, including all cornice, trims etc. attached to the sheeting material.",Sub,Allowance,572.0,1,Constitution 2024-25 x1.10
Asbestos removal,"Remove bonded Asbestos walls, ceiling with batt insulation, flooring and compressed flooring underlay to the upstairs main bathroom and toilet, including all trims, fixtures/fittings not being saved (full gut).",Sub,Allowance,3135.0,1,Constitution 2024-25 x1.10
Asbestos removal,"Remove bonded Asbestos walls, flooring to the ensuite, including all trims, fixtures/fittings not being saved (full gut).",Sub,Allowance,1815.0,1,Constitution 2024-25 x1.10
"Balustrade, Fret Work, Battening, Gates & External Stairs",Fixing and Consumables,Mat,ea,92.22,1,Constitution 2024-25 x1.10
"Balustrade, Fret Work, Battening, Gates & External Stairs",Install external timber stairs with newel posts as per specifications,Lab,Hour,75.16,1,Constitution 2024-25 x1.10
"Balustrade, Fret Work, Battening, Gates & External Stairs",Material Delivery Charge,Mat,Allowance,198.0,1,Constitution 2024-25 x1.10
"Balustrade, Fret Work, Battening, Gates & External Stairs",Supply and install 2x gates to undercroft,MatLab,ea,116.52,1,Constitution 2024-25 x1.10
"Balustrade, Fret Work, Battening, Gates & External Stairs",Supply and install new Valance to courtyard and entry,MatLab,lm,63.8,1,Constitution 2024-25 x1.10
"Balustrade, Fret Work, Battening, Gates & External Stairs",Supply and install new full height screening to courtyard and entry.,MatLab,lm,363.83,1,Constitution 2024-25 x1.10
"Balustrade, Fret Work, Battening, Gates & External Stairs",Supply and install timber balustrade to rear deck as per specifications,MatLab,lm,87.54,1,Constitution 2024-25 x1.10
"Balustrade, Fret Work, Battening, Gates & External Stairs",Supply and install timber batten screening around undercroft as per architects notes. Using 90 x 18mm LOSP Pine. Flat finish as per discussion with clients,MatLab,lm,153.85,1,Constitution 2024-25 x1.10
"Balustrade, Fret Work, Battening, Gates & External Stairs","Supply and install timber valance to West, South and East elevation as per specifications",MatLab,lm,116.14,1,Constitution 2024-25 x1.10
"Balustrade, Fret Work, Battening, Gates & External Stairs",Supply materials for external timber stairs with newel posts as per specifications,Mat,Allowance,313.94,1,Constitution 2024-25 x1.10
"Balustrade, Fret Work, Battening, Gates & External Stairs",Undercoat Hardwood Timber,Lab,ea,51.07,1,Constitution 2024-25 x1.10
"Balustrade, Fret work, Battening and Gates","1 x metal framed gate with timber batten to north end of open store with 1 x barrel bolt, 1 x metal framed gate with timber batten to south end of open store with 1 x barrel bolt",MatLab,each,69.17,1,Benecia 2022-23 x1.17
"Balustrade, Fret work, Battening and Gates",140 x 42mm handrail to back deck,MatLab,lm,90.44,1,Benecia 2022-23 x1.17
"Balustrade, Fret work, Battening and Gates",2 x metal framed gates with timber batten to gas store 1 x barrel bolt to each gate,MatLab,each,147.55,1,Benecia 2022-23 x1.17
"Balustrade, Fret work, Battening and Gates","BALUSTRADE, SCREENING AND FRETWORK TIMBERS",Mat,Ea,2163.46,1,Benecia 2022-23 x1.17
"Balustrade, Fret work, Battening and Gates",Exiting timber screening and painting allowance,Mat,lm,223.81,1,Benecia 2022-23 x1.17
